fips,total_pop_age_sex,median_age,sex_ratio_males,under_18_percent,over_18_percent,over_65_percent,county,state,total_hh,median_hh_income,mean_hh_income,total_families,median_family_income,mean_family_income,tot_pop_race_ethnicity,tot_white,tot_black_af_am,tot_aminalnat,tot_asian,tot_hawopi,total_pop_poverty,pop_below_poverty,percent_below_poverty,smoking_ban_2010,asian_2019,avg_family_size_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_limited_english_2019,housing_mobile_homes_2019,hs_grad_2019,median_household_income_2019,median_individual_income_2019,native_2019,other_single_race_2019,pac_isl_2019,persons_per_household_2019,pop_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,rural_urban_continuum_code_2013,Metro2013,retirement_destination_2015_update,metro_adjacent_2013,average_2011_upper_bound_pct_obesity,FIPS,heart_disease_prev_100K
48427,64078.0,28.8,94.8,33.0,67.0,11.2,Starr County, Texas,16188.0,30387.0,47269.0,12969.0,33231.0,51888.0,64078.0,61060.0,49.0,39.0,10.0,0.0,63419.0,22015.0,34.7,none,0.0,4.54,0.1,99.2,56.1,47.3,75.6,16188.0,35.0,24.9,53.3,30387.0,14038.0,0.1,4.2,0.0,3.92,64078.0,13.1,34.8,1.5,95.3,0.7,4.0,0.0,0.0,1.0,56.645,48427,54.267916733974815
48429,9364.0,39.4,107.8,22.6,77.4,19.5,Stephens County, Texas,3247.0,46232.0,64763.0,2283.0,52639.0,69473.0,9364.0,8441.0,265.0,60.0,31.0,0.0,8910.0,1835.0,20.6,none,0.3,3.33,2.8,23.7,75.8,64.7,78.7,3247.0,1.5,17.9,78.5,46232.0,22206.0,0.6,2.8,0.0,2.75,9364.0,6.4,19.2,6.7,90.1,71.1,7.0,0.0,0.0,0.0,44.985,48429,73.0942682542936
48431,1231.0,40.8,122.6,34.4,65.6,12.7,Sterling County, Texas,458.0,59868.0,73677.0,357.0,70884.0,82907.0,1231.0,1122.0,0.0,0.0,0.0,0.0,1194.0,29.0,2.4,none,0.0,3.01,0.0,52.1,85.6,80.6,86.0,458.0,4.8,14.4,89.4,59868.0,36827.0,0.0,7.9,0.0,2.61,1231.0,2.2,22.9,4.7,91.1,47.0,8.0,0.0,0.0,1.0,46.525,48431,57.10905139371218
48433,1476.0,47.1,95.2,27.0,73.0,20.3,Stonewall County, Texas,580.0,51250.0,62955.0,374.0,70385.0,79617.0,1476.0,1363.0,30.0,38.0,0.0,0.0,1422.0,169.0,11.9,none,0.0,3.2,2.0,21.3,77.2,68.8,70.2,580.0,2.6,24.5,81.3,51250.0,25331.0,2.6,2.2,0.0,2.46,1476.0,3.0,14.0,9.4,92.3,75.9,9.0,0.0,0.0,0.0,43.08,48433,65.55691066446734
48435,3824.0,38.6,117.4,26.4,73.6,18.1,Sutton County, Texas,1412.0,54306.0,66252.0,996.0,60792.0,74093.0,3824.0,2395.0,3.0,14.0,0.0,6.0,3807.0,531.0,13.9,none,0.0,3.35,0.1,65.6,52.4,55.5,70.0,1412.0,10.7,30.8,73.9,54306.0,30298.0,0.4,36.8,0.2,2.69,3824.0,8.1,17.8,10.2,62.6,34.1,7.0,0.0,0.0,0.0,45.875,48435,65.34567342194077
48437,7432.0,35.9,119.9,25.2,74.8,18.4,Swisher County, Texas,2505.0,39771.0,54469.0,1717.0,47043.0,63099.0,7432.0,6222.0,448.0,241.0,12.0,5.0,6783.0,1706.0,25.2,none,0.2,3.34,6.0,44.0,75.4,61.4,74.8,2505.0,9.8,29.0,73.3,39771.0,21851.0,3.2,1.8,0.1,2.7,7432.0,6.4,20.2,5.3,83.7,46.2,6.0,0.0,0.0,1.0,45.23,48437,64.89391279588708
48439,2049770.0,34.4,95.8,26.5,73.5,11.0,Tarrant County, Texas,708252.0,67700.0,92653.0,495825.0,79859.0,105859.0,2049770.0,1374182.0,338378.0,10343.0,111274.0,3946.0,2023452.0,241703.0,11.9,none,5.4,3.44,16.5,28.8,86.9,80.6,87.6,708252.0,6.3,39.5,86.1,67700.0,33326.0,0.5,7.1,0.2,2.86,2049770.0,4.3,16.1,7.2,67.0,46.7,1.0,1.0,0.0,0.0,39.465,48439,65.65833813876074
48441,136870.0,32.5,95.2,24.8,75.2,14.2,Taylor County, Texas,49868.0,53143.0,71506.0,32740.0,65192.0,83594.0,136870.0,104989.0,10946.0,1033.0,3002.0,44.0,130580.0,19764.0,15.1,none,2.2,3.18,8.0,24.4,77.1,72.4,81.5,49868.0,2.4,41.6,89.3,53143.0,26504.0,0.8,9.8,0.0,2.61,136870.0,2.7,14.0,10.7,76.7,63.4,3.0,1.0,0.0,0.0,40.505,48441,65.69534483965516
48443,896.0,55.2,89.4,15.1,84.9,32.7,Terrell County, Texas,418.0,43208.0,53102.0,253.0,54485.0,68258.0,896.0,592.0,10.0,3.0,0.0,0.0,896.0,84.0,9.4,none,0.0,2.85,1.1,56.7,58.4,68.4,65.8,418.0,1.0,6.9,86.5,43208.0,24069.0,0.3,30.0,0.0,2.14,896.0,1.0,9.5,9.7,66.1,39.4,9.0,0.0,0.0,0.0,43.445,48443,56.08796771383766
48445,12528.0,34.6,105.1,27.5,72.5,15.1,Terry County, Texas,4061.0,44627.0,62202.0,2875.0,49328.0,69028.0,12528.0,11418.0,609.0,18.0,2.0,0.0,11511.0,2208.0,19.2,none,0.0,3.47,4.9,55.0,70.7,58.4,77.0,4061.0,10.7,30.4,68.4,44627.0,22037.0,0.1,2.3,0.0,2.84,12528.0,5.5,23.1,4.2,91.1,39.5,6.0,0.0,0.0,1.0,48.015,48445,66.54364052569423
