"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US47013","Campbell County, Tennessee","39797","*****","38710","75","127","84","97","83","170","21","0","26","143","78","550","134","69","71","481","112"
"0500000US47015","Cannon County, Tennessee","14178","*****","13593","72","265","63","40","45","4","8","2","4","68","72","206","81","0","19","206","81"
"0500000US47017","Carroll County, Tennessee","27886","*****","24211","68","2867","302","68","55","113","29","36","48","30","27","561","276","20","21","541","272"
"0500000US47019","Carter County, Tennessee","56433","*****","54369","131","967","110","223","89","254","72","27","45","118","116","475","155","22","42","453","149"
"0500000US47021","Cheatham County, Tennessee","40181","*****","37993","249","637","105","175","129","184","92","13","20","438","232","741","174","53","44","688","182"
"0500000US47023","Chester County, Tennessee","17190","*****","14794","98","1535","168","6","13","78","46","0","19","352","98","425","175","3","4","422","175"
"0500000US47025","Claiborne County, Tennessee","31732","*****","30581","41","321","90","70","68","247","42","52","60","16","24","445","129","6","11","439","127"
"0500000US47027","Clay County, Tennessee","7654","*****","7258","48","183","98","0","17","8","16","0","17","137","126","68","59","0","17","68","59"
"0500000US47029","Cocke County, Tennessee","35552","*****","33687","154","662","254","328","140","67","69","41","58","20","22","747","199","43","48","704","188"
"0500000US47031","Coffee County, Tennessee","55209","*****","49924","435","2163","258","27","27","596","84","10","16","1332","448","1157","276","51","52","1106","273"
"0500000US47033","Crockett County, Tennessee","14399","*****","11447","260","1877","115","17","15","48","29","6","12","679","252","325","117","37","37","288","108"
"0500000US47035","Cumberland County, Tennessee","59216","*****","57133","229","613","295","384","128","209","120","0","29","162","126","715","240","83","96","632","214"
"0500000US47037","Davidson County, Tennessee","687488","*****","440299","1694","186295","1403","1534","404","24865","687","412","140","16136","1796","17947","1444","1540","408","16407","1432"
"0500000US47039","Decatur County, Tennessee","11686","*****","10780","108","518","140","0","19","0","19","0","19","26","29","362","156","43","64","319","142"
"0500000US47041","DeKalb County, Tennessee","19847","*****","18582","328","360","109","62","86","54","51","11","20","465","337","313","131","5","9","308","132"
"0500000US47043","Dickson County, Tennessee","52680","*****","48792","199","2213","222","253","98","264","70","0","29","183","110","975","253","40","48","935","239"
"0500000US47045","Dyer County, Tennessee","37416","*****","30612","219","4836","293","222","62","290","10","56","46","348","286","1052","323","57","46","995","305"
"0500000US47047","Fayette County, Tennessee","40164","*****","27926","179","11000","130","350","195","269","45","1","4","253","145","365","153","0","26","365","153"
"0500000US47049","Fentress County, Tennessee","18213","*****","17718","82","59","47","76","86","100","73","0","19","63","61","197","81","0","19","197","81"
"0500000US47051","Franklin County, Tennessee","41725","*****","37735","233","1988","218","18","17","185","60","28","39","410","260","1361","213","196","153","1165","196"
"0500000US47053","Gibson County, Tennessee","49228","*****","38519","330","8423","417","221","100","156","47","40","43","251","178","1618","466","242","150","1376","437"
"0500000US47055","Giles County, Tennessee","29285","*****","25222","126","2871","191","92","73","65","60","0","23","248","200","787","188","18","23","769","184"
"0500000US47057","Grainger County, Tennessee","23101","*****","22474","121","104","84","71","72","64","54","0","23","1","2","387","169","89","121","298","136"
"0500000US47059","Greene County, Tennessee","68834","*****","65096","299","1501","168","177","135","273","127","69","64","496","236","1222","291","271","199","951","273"
"0500000US47061","Grundy County, Tennessee","13344","*****","11758","389","96","77","131","130","26","31","0","19","12","15","1321","408","0","19","1321","408"
"0500000US47063","Hamblen County, Tennessee","64132","*****","56703","611","2964","502","201","87","562","124","186","220","1945","653","1571","414","545","319","1026","321"
"0500000US47065","Hamilton County, Tennessee","360919","*****","271750","905","69100","896","707","172","7445","339","142","68","4181","871","7594","968","426","158","7168","939"
"0500000US47067","Hancock County, Tennessee","6587","*****","6476","53","33","25","3","14","39","42","0","17","6","9","30","30","5","8","25","27"
"0500000US47069","Hardeman County, Tennessee","25443","*****","14022","99","10648","110","78","56","187","39","0","23","166","92","342","161","59","53","283","147"
"0500000US47071","Hardin County, Tennessee","25715","*****","24251","22","1001","154","51","49","119","57","0","23","20","22","273","143","35","56","238","136"
"0500000US47073","Hawkins County, Tennessee","56611","*****","54363","159","747","149","99","87","299","69","62","68","123","100","918","285","120","118","798","235"
"0500000US47075","Haywood County, Tennessee","17623","*****","8243","215","8950","85","0","19","8","14","5","9","238","228","179","109","0","19","179","109"
"0500000US47077","Henderson County, Tennessee","27977","*****","25091","54","2192","197","0","23","35","44","22","37","31","30","606","181","21","32","585","179"
"0500000US47079","Henry County, Tennessee","32284","*****","28754","127","2643","106","84","90","127","72","0","26","165","88","511","159","13","17","498","159"
"0500000US47081","Hickman County, Tennessee","24813","*****","22891","87","1299","62","144","116","94","24","7","13","26","29","352","117","39","48","313","98"
"0500000US47083","Houston County, Tennessee","8164","*****","7542","50","441","78","60","39","14","22","16","29","0","17","91","76","0","17","91","76"
"0500000US47085","Humphreys County, Tennessee","18435","*****","17271","120","430","234","142","95","129","146","7","13","27","32","429","197","142","93","287","162"
"0500000US47087","Jackson County, Tennessee","11682","*****","11177","34","40","34","18","26","5","11","0","19","181","52","261","51","27","29","234","44"
"0500000US47089","Jefferson County, Tennessee","53679","*****","51204","145","910","120","69","64","345","60","20","22","161","127","970","162","51","45","919","143"
"0500000US47091","Johnson County, Tennessee","17753","*****","16694","187","613","135","90","50","85","68","0","19","36","28","235","84","5","7","230","83"
"0500000US47093","Knox County, Tennessee","461104","*****","394105","909","40147","770","1306","269","10114","444","205","65","4890","896","10337","982","472","176","9865","961"
"0500000US47095","Lake County, Tennessee","7401","*****","4997","50","2110","85","10","12","18","29","0","17","112","51","154","80","21","28","133","75"
"0500000US47097","Lauderdale County, Tennessee","25989","*****","16359","40","8769","192","218","26","72","62","0","23","51","37","520","190","12","15","508","190"
"0500000US47099","Lawrence County, Tennessee","43390","*****","41314","186","724","138","147","93","226","62","77","94","223","168","679","197","32","37","647","192"
"0500000US47101","Lewis County, Tennessee","12027","*****","11436","84","219","150","0","19","164","162","0","19","53","77","155","120","17","31","138","123"
"0500000US47103","Lincoln County, Tennessee","33924","*****","30413","168","2428","102","70","65","195","38","0","26","57","51","761","169","143","119","618","114"
"0500000US47105","Loudon County, Tennessee","52340","*****","49169","456","510","148","93","76","375","95","0","29","1161","417","1032","213","117","101","915","197"
"0500000US47107","McMinn County, Tennessee","53053","*****","49050","188","1953","213","205","117","415","54","37","42","311","187","1082","231","0","29","1082","231"
"0500000US47109","McNairy County, Tennessee","25844","*****","23639","78","1428","134","49","41","54","27","0","23","105","74","569","149","17","22","552","142"
"0500000US47111","Macon County, Tennessee","23842","*****","22796","235","44","42","102","84","113","128","37","61","279","225","471","188","20","33","451","186"
"0500000US47113","Madison County, Tennessee","97625","*****","56534","586","36352","403","112","64","1054","119","0","29","1586","563","1987","432","144","102","1843","422"
"0500000US47115","Marion County, Tennessee","28538","*****","26529","115","734","118","15","13","136","52","0","23","156","116","968","139","12","14","956","137"
"0500000US47117","Marshall County, Tennessee","32965","*****","29548","194","2491","118","21","25","106","35","0","26","338","197","461","132","78","81","383","107"
"0500000US47119","Maury County, Tennessee","91976","*****","77153","418","10571","415","195","118","866","151","19","25","712","292","2460","492","240","154","2220","503"
"0500000US47121","Meigs County, Tennessee","12104","*****","11630","31","230","69","41","42","26","33","0","19","0","19","177","65","8","13","169","64"
"0500000US47123","Monroe County, Tennessee","46064","*****","43415","264","961","132","295","141","185","68","0","26","416","234","792","191","71","62","721","179"
"0500000US47125","Montgomery County, Tennessee","200180","*****","141131","744","40208","1046","1113","234","4409","372","782","133","3023","607","9514","845","729","247","8785","834"
"0500000US47127","Moore County, Tennessee","6378","*****","5919","29","140","123","105","100","153","180","0","17","0","17","61","73","7","11","54","72"
"0500000US47129","Morgan County, Tennessee","21545","*****","20010","227","1239","165","80","79","11","15","0","23","70","37","135","78","0","23","135","78"
"0500000US47131","Obion County, Tennessee","30365","*****","25859","207","3126","196","76","44","116","19","7","7","551","207","630","211","90","58","540","196"
"0500000US47133","Overton County, Tennessee","22068","*****","21520","25","144","150","14","18","99","92","92","125","6","12","193","114","5","10","188","113"
"0500000US47135","Perry County, Tennessee","7962","*****","7372","74","218","122","12","16","178","158","0","17","31","40","151","100","19","32","132","99"
"0500000US47137","Pickett County, Tennessee","5079","*****","5054","33","9","16","0","17","0","17","0","17","0","17","16","27","0","17","16","27"
"0500000US47139","Polk County, Tennessee","16814","*****","16160","119","56","37","49","43","17","16","0","19","179","119","353","60","0","19","353","60"
"0500000US47141","Putnam County, Tennessee","77447","*****","72255","346","1720","235","267","134","1009","140","0","29","697","292","1499","351","125","96","1374","337"
"0500000US47143","Rhea County, Tennessee","32719","*****","30879","210","746","119","83","105","156","53","0","26","232","187","623","171","53","55","570","162"
"0500000US47145","Roane County, Tennessee","53075","*****","49748","83","1227","180","208","117","418","49","19","29","264","132","1191","260","130","92","1061","226"
"0500000US47147","Robertson County, Tennessee","70280","*****","61489","520","5110","228","192","90","391","76","42","50","1472","502","1584","327","199","139","1385","309"
