fips,percent_below_poverty,smoking_ban_2010,unemployment_rate_2019,average_2011_upper_bound_pct_obesity,rural_urban_continuum_code_2013,labels_small
37195,20.3,none,7.6,49.14,4.0,1
37197,15.4,none,3.3,44.09,2.0,3
37199,16.4,none,5.2,39.57,8.0,3
38001,8.7,comprehensive,0.9,37.89,9.0,0
38003,11.3,partial,1.4,42.03,6.0,2
38005,31.9,partial,6.3,49.88,9.0,1
38007,9.3,partial,3.6,41.615,9.0,2
38009,9.6,partial,2.6,42.41,9.0,2
38011,7.8,partial,2.8,40.290000000000006,9.0,2
38013,5.9,none,2.6,43.34,9.0,3
38015,8.1,none,1.9,36.7,3.0,3
38017,10.7,none,2.3,37.715,3.0,3
38019,11.0,partial,1.4,41.56,9.0,2
38021,5.2,partial,1.9,41.69,9.0,2
38023,9.0,partial,1.5,43.015,9.0,2
38025,8.1,none,2.0,42.925,9.0,3
38027,10.8,partial,1.3,41.3,9.0,2
38029,9.9,partial,1.7,44.405,8.0,2
38031,7.2,partial,0.5,40.27,9.0,2
38033,7.5,partial,3.5,41.52,9.0,2
38035,16.2,partial,3.1,40.445,3.0,2
38037,12.9,comprehensive,3.0,42.935,8.0,0
38039,7.9,partial,0.9,41.525,9.0,2
38041,9.6,partial,2.1,41.33,9.0,2
38043,10.8,partial,0.6,44.265,8.0,2
38045,14.7,partial,0.6,41.815,9.0,2
38047,7.2,none,0.5,47.06,9.0,3
38049,8.3,partial,1.7,43.355,9.0,2
38051,9.9,partial,0.3,46.56,9.0,2
38053,11.3,partial,3.3,44.325,9.0,2
38055,8.0,none,1.3,42.895,8.0,3
38057,7.2,comprehensive,1.3,43.040000000000006,7.0,0
38059,7.4,none,2.1,41.705,3.0,3
38061,10.4,partial,3.7,45.555,9.0,2
38063,11.5,none,0.5,43.07,8.0,3
38065,8.0,partial,2.2,41.855,3.0,2
38067,7.4,partial,2.9,41.43,9.0,2
38069,16.7,partial,0.4,43.905,7.0,2
38071,12.5,partial,0.5,41.46,7.0,2
38073,6.4,partial,1.4,40.775,8.0,2
38075,3.7,comprehensive,2.1,41.285,9.0,0
38077,10.9,partial,3.1,41.285,6.0,2
38079,27.1,partial,7.2,50.535,9.0,1
38081,4.2,partial,1.5,43.3,9.0,2
38083,12.4,none,2.4,42.445,9.0,3
38085,38.2,partial,18.1,54.56,3.0,1
38087,7.5,partial,2.6,43.02,9.0,2
38089,8.8,comprehensive,2.6,41.24,7.0,0
38091,5.8,partial,2.2,43.985,8.0,2
38093,12.1,partial,2.9,41.285,7.0,2
38095,10.4,partial,3.2,42.58,9.0,2
38097,6.4,partial,2.4,43.485,8.0,2
38099,9.1,none,2.3,43.455,6.0,3
38101,9.5,partial,2.8,39.195,5.0,2
38103,8.6,none,3.0,42.13,9.0,3
38105,6.1,comprehensive,2.0,41.42,7.0,0
39001,20.7,comprehensive,5.5,47.295,6.0,0
39003,13.9,none,4.8,49.575,3.0,3
39005,13.8,none,3.2,43.35,4.0,3
39007,19.9,comprehensive,6.6,43.37,4.0,0
39009,30.2,comprehensive,5.8,44.615,4.0,0
39011,8.4,comprehensive,2.8,44.73,4.0,0
39013,12.3,comprehensive,5.0,43.955,3.0,0
39015,15.3,none,4.7,45.96,1.0,3
39017,12.5,comprehensive,4.2,41.78,1.0,0
39019,12.3,none,4.9,45.900000000000006,2.0,3
39021,10.1,comprehensive,4.1,44.92,6.0,0
39023,14.9,partial,6.0,43.75,3.0,2
39025,9.0,comprehensive,3.5,41.28,1.0,0
39027,14.8,comprehensive,4.8,41.870000000000005,6.0,0
39029,14.3,comprehensive,6.1,46.31,4.0,0
39031,14.4,comprehensive,5.4,44.53,6.0,0
39033,14.9,none,5.1,46.09,4.0,3
39035,17.5,comprehensive,7.1,38.35,1.0,0
39037,10.5,comprehensive,2.7,44.400000000000006,6.0,0
39039,10.2,comprehensive,3.7,42.465,4.0,0
39041,4.8,comprehensive,2.6,36.395,1.0,0
39043,11.7,partial,4.5,43.18,4.0,2
39045,9.2,comprehensive,3.2,43.765,1.0,0
39047,16.2,none,5.2,45.42,6.0,3
39049,15.7,partial,4.4,40.465,1.0,2
39051,7.8,none,3.1,43.675,2.0,3
39053,20.7,comprehensive,4.0,45.635,6.0,0
39055,5.8,comprehensive,2.4,38.09,1.0,0
39057,11.6,comprehensive,4.9,38.625,2.0,0
39059,19.9,comprehensive,5.7,45.125,6.0,0
39061,15.8,none,5.0,38.260000000000005,1.0,3
39063,10.8,none,3.5,43.345,4.0,3
39065,13.9,none,4.6,46.885,6.0,3
39067,16.0,none,5.0,45.745000000000005,6.0,3
39069,8.4,none,2.7,44.54,6.0,3
39071,19.4,comprehensive,6.0,45.57,6.0,0
39073,13.3,comprehensive,5.2,46.485,1.0,0
39075,10.0,comprehensive,2.2,52.305,7.0,0
39077,13.2,comprehensive,4.2,45.005,4.0,0
39079,18.8,comprehensive,7.0,49.065,7.0,0
39081,17.5,none,5.9,45.74,3.0,3
39083,13.1,none,4.3,41.45,4.0,3
39085,8.1,comprehensive,3.8,38.765,1.0,0
39087,18.1,none,5.6,49.865,2.0,1
39089,10.5,partial,3.9,43.015,1.0,2
39091,11.4,none,3.7,45.91,6.0,3
39093,13.5,comprehensive,4.8,42.94499999999999,1.0,0
39095,18.7,comprehensive,6.5,43.495,2.0,0
39097,9.1,comprehensive,3.8,44.265,1.0,0
39099,17.5,comprehensive,7.4,39.865,2.0,0
39101,14.8,none,6.4,44.89,4.0,3
39103,6.0,none,2.6,38.915,1.0,3
39105,19.6,none,7.9,46.645,6.0,1
39107,6.4,comprehensive,2.5,42.16,7.0,0
39109,9.2,none,4.3,42.795,2.0,3
39111,17.1,none,4.9,47.105,8.0,1
39113,16.6,none,5.8,41.235,2.0,3
39115,19.2,partial,4.1,46.96,6.0,2
39117,9.7,none,3.3,44.76,1.0,3
39119,16.0,comprehensive,5.9,43.755,4.0,0
39121,15.6,none,5.7,49.39,7.0,1
39123,10.1,partial,3.7,45.605,4.0,2
39125,9.9,none,3.6,44.56,6.0,3
39127,19.1,none,6.0,46.845,1.0,3
39129,12.1,comprehensive,3.8,47.41,1.0,0
39131,18.7,none,6.6,48.435,7.0,1
39133,12.8,none,4.8,41.415,2.0,3
39135,10.1,comprehensive,3.1,43.575,6.0,0
39137,7.6,comprehensive,2.9,43.92,6.0,0
39139,13.5,partial,5.0,44.64,3.0,2
39141,17.3,comprehensive,5.7,46.22,4.0,0
39143,11.6,comprehensive,4.0,45.57,4.0,0
39145,22.6,comprehensive,7.6,48.75,4.0,0
39147,12.8,comprehensive,3.8,44.835,4.0,0
39149,8.8,comprehensive,3.8,43.665,4.0,0
39151,13.6,comprehensive,5.1,42.32,2.0,0
39153,13.2,partial,5.0,38.59,2.0,2
39155,17.2,comprehensive,4.3,42.0,2.0,0
39157,12.8,comprehensive,4.1,44.91,4.0,0
39159,5.9,none,1.6,44.005,1.0,3
39161,11.1,comprehensive,3.0,44.525,6.0,0
39163,19.0,comprehensive,5.5,48.39,8.0,0
39165,4.6,none,2.5,38.045,1.0,3
39167,14.2,none,3.6,44.405,4.0,3
39169,11.3,none,2.9,42.72,4.0,3
39171,11.2,comprehensive,3.8,42.515,6.0,0
39173,12.9,comprehensive,3.2,43.370000000000005,2.0,0
39175,7.4,comprehensive,2.6,44.415,7.0,0
40001,27.8,comprehensive,4.9,49.035,6.0,0
40003,9.1,none,2.1,44.56,9.0,3
40005,20.6,none,4.4,46.18,9.0,1
40007,11.4,none,4.3,43.3,9.0,3
40009,16.7,none,3.7,43.855,7.0,3
